method,m,n,s,k,loss,alpha,beta,time,RF,norm_RF,anc_loss_recall,inc_loss_recall,cls_loss_recall,anc_recall,inc_recall,cls_recall,taxa_RI,taxa_recall,taxa_precision,char_RI,char_recall,char_precision,L,back_mut_inf,par_evo_inf,back_mut_true,par_evo_true,loss_recall,loss_precision,loss_F1,flip01_correct,flip01_incorrect,flip10_correct,flip10_incorrect,TN,FN,FP,TP,ones,zeros,inTN,inFN,inFP,inTP
SCITE,50,50,12,1,0.2,0.001,0.2,20327,19,0.612903,0.4,0.622101,0.255556,0.629108,0.961012,0.365079,0.982041,0.746032,0.994836,0.989388,0.7,0.999156,-605.629,0,0,12,0,0,nan,nan,33,11,4,1,2225,21,11,243,215,2285,2232,53,4,211,
SCITE,50,50,12,1,0.2,0.001,0.3,20238,17,0.566667,0.4,0.622101,0.255556,0.629108,0.961012,0.365079,0.982041,0.746032,0.994836,0.989388,0.7,0.999156,-887.032,0,0,12,0,0,nan,nan,33,11,4,1,2225,21,11,243,215,2285,2232,53,4,211,
SCITE,50,50,12,1,0.2,0.01,0.1,20326,21,0.65625,0.385075,0.622101,0.2,0.605634,0.961012,0.285714,0.973061,0.571429,0.994836,0.985306,0.575,0.999156,-363.165,0,0,12,0,0,nan,nan,25,13,4,4,2223,32,13,232,215,2285,2232,53,4,211,
SCITE,50,50,12,1,0.2,0.01,0.2,20378,25,0.735294,0.38209,0.622101,0.2,0.600939,0.961012,0.285714,0.967347,0.52381,0.991394,0.983673,0.575,0.997468,-601.484,0,0,12,0,0,nan,nan,24,14,4,4,2222,33,14,231,215,2285,2232,53,4,211,
SCITE,50,50,12,1,0.2,0.01,0.3,20297,21,0.65625,0.385075,0.622101,0.2,0.605634,0.961012,0.285714,0.973878,0.587302,0.994836,0.983673,0.575,0.997468,-886.121,0,0,12,0,0,nan,nan,25,13,4,4,2223,32,13,232,215,2285,2232,53,4,211,
SCITE,50,50,12,1,0.4,0.0001,0.1,20351,17,0.566667,0.282776,0.535526,0.12605,0.516432,0.961012,0.238095,0.985306,0.730159,0.999139,0.973878,0.369565,0.997455,-357.974,0,0,17,0,0,nan,nan,32,4,3,1,2241,24,4,231,203,2297,2242,55,3,200,
SCITE,50,50,12,1,0.4,0.0001,0.2,20381,19,0.612903,0.277635,0.533177,0.12605,0.507042,0.956797,0.238095,0.974694,0.587302,0.995697,0.973878,0.347826,0.998304,-599.329,0,0,17,0,0,nan,nan,31,5,2,2,2239,26,6,229,203,2297,2242,55,3,200,
SCITE,50,50,12,1,0.4,0.0001,0.3,20388,19,0.612903,0.277635,0.535526,0.12605,0.507042,0.961012,0.238095,0.978776,0.666667,0.995697,0.973878,0.369565,0.997455,-886.646,0,0,17,0,0,nan,nan,31,5,3,1,2240,25,5,230,203,2297,2242,55,3,200,
SCITE,50,50,12,1,0.4,0.001,0.1,20298,17,0.566667,0.282776,0.535526,0.12605,0.516432,0.961012,0.238095,0.985306,0.730159,0.999139,0.973878,0.369565,0.997455,-348.943,0,0,17,0,0,nan,nan,32,4,3,1,2241,24,4,231,203,2297,2242,55,3,200,
SCITE,50,50,12,1,0.4,0.001,0.2,20436,19,0.612903,0.277635,0.535526,0.12605,0.507042,0.961012,0.238095,0.978776,0.666667,0.995697,0.973878,0.369565,0.997455,-590.297,0,0,17,0,0,nan,nan,31,5,3,1,2240,25,5,230,203,2297,2242,55,3,200,
SCITE,50,50,12,1,0.4,0.001,0.3,20300,19,0.612903,0.277635,0.535526,0.12605,0.507042,0.961012,0.238095,0.978776,0.666667,0.995697,0.973878,0.369565,0.997455,-877.615,0,0,17,0,0,nan,nan,31,5,3,1,2240,25,5,230,203,2297,2242,55,3,200,
SCITE,50,50,12,1,0.4,0.01,0.1,20450,19,0.612903,0.277635,0.535526,0.12605,0.507042,0.961012,0.238095,0.978776,0.666667,0.995697,0.973878,0.369565,0.997455,-341.534,0,0,17,0,0,nan,nan,31,5,3,1,2240,25,5,230,203,2297,2242,55,3,200,
SCITE,50,50,12,1,0.4,0.01,0.2,20409,17,0.566667,0.282776,0.535526,0.12605,0.516432,0.961012,0.238095,0.985306,0.730159,0.999139,0.973878,0.369565,0.997455,-582.888,0,0,17,0,0,nan,nan,32,4,3,1,2241,24,4,231,203,2297,2242,55,3,200,
SCITE,50,50,12,1,0.4,0.01,0.3,20301,17,0.566667,0.282776,0.535526,0.12605,0.516432,0.961012,0.238095,0.985306,0.730159,0.999139,0.973878,0.369565,0.997455,-870.206,0,0,17,0,0,nan,nan,32,4,3,1,2241,24,4,231,203,2297,2242,55,3,200,
SCITE,50,50,13,1,0.1,0.0001,0.1,20432,21,0.807692,0.426987,0.514808,0.248227,0.639889,0.786951,0.309735,0.897959,0.591696,0.992521,0.946939,0.428571,0.981707,-482.176,0,0,11,0,0,nan,nan,86,10,3,4,1835,38,11,616,538,1962,1842,120,4,534,
SCITE,50,50,13,1,0.1,0.0001,0.2,20416,21,0.807692,0.454713,0.511324,0.276596,0.68144,0.781625,0.345133,0.91102,0.640138,0.994658,0.937143,0.38961,0.973868,-626.302,0,0,11,0,0,nan,nan,89,27,2,1,1817,32,29,622,538,1962,1842,120,4,534,
SCITE,50,50,13,1,0.1,0.0001,0.3,20444,21,0.807692,0.449168,0.511324,0.29078,0.67313,0.781625,0.362832,0.910204,0.640138,0.99359,0.940408,0.415584,0.97561,-825.767,0,0,11,0,0,nan,nan,89,27,2,1,1817,32,29,622,538,1962,1842,120,4,534,
SCITE,50,50,13,1,0.1,0.001,0.1,20435,21,0.807692,0.426987,0.514808,0.248227,0.639889,0.786951,0.309735,0.897959,0.591696,0.992521,0.946939,0.428571,0.981707,-466.536,0,0,11,0,0,nan,nan,86,10,3,4,1835,38,11,616,538,1962,1842,120,4,534,
SCITE,50,50,13,1,0.1,0.001,0.2,20496,21,0.807692,0.426987,0.514808,0.248227,0.639889,0.786951,0.309735,0.897959,0.591696,0.992521,0.946939,0.428571,0.981707,-619.777,0,0,11,0,0,nan,nan,86,10,3,4,1835,38,11,616,538,1962,1842,120,4,534,
SCITE,50,50,13,1,0.1,0.001,0.3,20422,21,0.807692,0.432532,0.514808,0.234043,0.648199,0.786951,0.292035,0.898776,0.591696,0.99359,0.943673,0.402597,0.979965,-830.022,0,0,11,0,0,nan,nan,86,10,3,4,1835,38,11,616,538,1962,1842,120,4,534,
SCITE,50,50,13,1,0.1,0.01,0.1,20541,18,0.75,0.432532,0.525261,0.234043,0.648199,0.802929,0.292035,0.898776,0.591696,0.99359,0.945306,0.402597,0.981707,-453.227,0,0,11,0,0,nan,nan,87,6,3,5,1839,38,7,616,538,1962,1842,120,4,534,
SCITE,50,50,13,1,0.1,0.01,0.2,20658,18,0.75,0.432532,0.525261,0.234043,0.648199,0.802929,0.292035,0.898776,0.591696,0.99359,0.945306,0.402597,0.981707,-608.901,0,0,11,0,0,nan,nan,87,6,3,5,1839,38,7,616,538,1962,1842,120,4,534,
